Servo,Weight(g),Torque(kg)(min. 0.01kg),Speed (Sec/60deg),A(mm),B(mm),C(mm),D(mm),E(mm),F(mm)
https://hobbyking.com/en_us/hk-282a-single-screw-ultra-micro-servo-2g-0-2kg-0-08sec.html,9,0.2,0.08,20,16,18,8,23,11
https://hobbyking.com/en_us/hobbykingtm-hk15318b-low-voltage-micro-servo-11kg-0-08sec-2-2g.html,9,0.11,0.08,20,16,17,8,23,10
https://hobbyking.com/en_us/blue-arrow-2-8g-50kg-09sec-high-speed-micro-servo.html,13,0.5,0.09,22,20,19,8.3,27,12
https://hobbyking.com/en_us/9103mg-metal-gear-servo-5-6g-1-0kg-12sec.html,15,1,0.12,25,20,22,10,27,14
https://hobbyking.com/en_us/em-micro-servo-black-9g-1-5kg-12sec.html,16,1.5,0.12,27,24,24,11,32,15
https://hobbyking.com/en_us/hobbykingtm-hkscm12-5-single-chip-digital-servo-1-5kg-0-18sec-10g.html,17,1.5,0.18,29,23,26,12,31,15
https://hobbyking.com/en_us/hobbykingtm-hkscm12-6-single-chip-digital-servo-1-7kg-0-16sec-12g.html,17,1.7,0.16,29,22,26,12,31,15
https://hobbyking.com/en_us/hobbykingtm-hkscm16-5-single-chip-digital-servo-2kg-0-15sec-13g.html,18,2,0.15,33,23,30,13,31,19
https://hobbyking.com/en_us/ssv-9314mg-14-7g-1-9kg-12sec-precision-servo.html,19,1.9,0.1,31,24,28,12,34,18
https://hobbyking.com/en_us/power-hd-1900a-servo-1-7kg-0-08sec-9g.html,20,1.7,0.08,30,23,27,12,32,16
https://hobbyking.com/en_us/hobbykingtm-hkscm16-6-single-chip-digital-servo-2-5kg-0-13sec-16g.html,20,2.5,0.13,33,23,30,12,31,19
https://hobbyking.com/en_us/single-cell-3-2g-16kg-10sec-digital-ultra-micro-servo.html,21,0.16,0.1,22,20,20,9,28,12
https://hobbyking.com/en_us/turnigytm-tss-9-digital-micro-servo-1-9kg-0-11sec-9g.html,21,1.9,0.11,28,23,25,12,32,11
https://hobbyking.com/en_us/towerpro-mg90d-mini-digital-servo-2-4kg-0-08sec-13g.html,24,2.4,0.08,33,23,29,12,31,19
https://hobbyking.com/en_us/hobbykingtm-digital-coreless-servo-mg-bb-1-4kg-0-05sec-15-3g.html,24,1.4,0.05,31,23,26,12,32,20
https://hobbyking.com/en_us/vigor-vs-5m-mg-servo-10g-1-2kg-0-17sec.html,25,1.2,0.17,27,23,24,12,32,16
https://hobbyking.com/en_us/hextronik-mg-14-14g-2-6kg-0-11sec-digital-aircraft-servo.html,25,2.6,0.11,36,23,32,12,33,23
https://hobbyking.com/en_us/single-cell-3-9g-18kg-10sec-high-speed-micro-servo.html,25,0.18,0.1,25,20,23,9,28,13
https://hobbyking.com/en_us/corona-ds929hv-7-4v-mg-digital-servo-2-4kg-0-09sec-12-5g.html,25,2.4,0.09,31,23,29,12,32,19
https://hobbyking.com/en_us/jr-ds388hv-micro-high-speed-digital-servo-1-0kg-0-08sec-9g.html,26,1,0.08,25,21,21,11,31,13
https://hobbyking.com/en_us/bms-306-micro-servo-0-8kg-11sec-6g.html,28,0.8,0.11,27,24,24,11,32,14
https://hobbyking.com/en_us/corona-ds939hv-digital-metal-gear-servo-2-8kg-0-12sec-12-5g.html,28,2.8,0.12,31,23,28,12,32,19
https://hobbyking.com/en_us/bms-308db-digital-dual-ball-bearing-micro-servo-1-2kg-0-10sec-6g.html,29,1.2,0.1,27,24,24,11,34,13
https://hobbyking.com/en_us/turnigy-digital-high-torque-bearing-servo-15-8g-3-9kg-0-13sec.html,30,3.9,0.13,32,23,29,12,32,20
https://hobbyking.com/en_us/bms-371-micro-servo-1-5kg-12sec-8-4g.html,31,1.5,0.12,30,25,26,12,34,15
https://hobbyking.com/en_us/corona-939mg-digital-metal-gear-servo-2-7kg-0-13sec-12-5g.html,31,2.7,0.13,32,23,30,12,33,20
https://hobbyking.com/en_us/hobbykingtm-digital-coreless-servo-bb-2-8kg-0-07sec-25g.html,32,2.8,0.07,32,36,29,15,48,19
https://hobbyking.com/en_us/turnigytm-tgy-213c-metal-cased-250-helicopter-cyclic-servo-3kg-0-07sec-16g.html,32,3,0.07,28,23,24,12,32,17
https://hobbyking.com/en_us/corona-929mg-metal-gear-servo-2-2kg-0-10sec-12-5g.html,33,2.2,0.1,31,23,29,12,32,21
https://hobbyking.com/en_us/corona-939mg-metal-gear-servo-2-5kg-0-14sec-12-5g.html,33,2.5,0.14,31,23,29,12,32,21
https://hobbyking.com/en_us/turnigytm-tgy-306g-hv-ultra-fast-high-torque-ds-mg-hv-alloy-case-3-7kg-0-05sec-21g.html,33,3.7,0.05,31,23,27,12,32,20
https://hobbyking.com/en_us/turnigytm-s3101s-servo-2-5kg-0-14sec-17g.html,35,2.5,0.14,34,28,30,13,40,20
https://hobbyking.com/en_us/corona-digital-servo-2-2kg-0-11sec-12-5g.html,35,2.2,0.11,31,23,27,12,32,22
https://hobbyking.com/en_us/corona-919mg-digital-metal-gear-servo-1-7kg-0-06sec-12g.html,35,1.7,0.06,31,23,29,12,32,20
https://hobbyking.com/en_us/hobbykingtm-hk-922mg-digital-mg-servo-1-8kg-0-07sec-12g.html,35,1.8,0.07,32,23,30,12,33,20
https://hobbyking.com/en_us/hobbykingtm-hk-933mg-digital-mg-servo-2-0kg-0-10sec-12g.html,35,2,0.1,32,23,30,12,33,20
https://hobbyking.com/en_us/turnigytm-mx-353s-mini-ds-servo-3kg-0-12sec-17g.html,35,3,0.12,31,28,27,13,38,18
