"Material","Density"
"Ash",0.56
"Aspen",0.38
"Basswood",0.38
"Cedar",0.35
"Cherry",0.5
"Grey Elm",0.5
"Hackberry",0.53
"Hickory",0.72
"Hard Maple",0.6
"Pine",0.38
"Red Elm",0.53
"Red Oak",0.63
"Soft Maple",0.48
"Walnut",0.55
"White Oak",0.68
"Fir",0.37
"Douglas Fir",0.47
"Larch",0.48
"Redwood",0.27
"Galium",5.91
"Zirconiua (partially stabilized)",5.7
"Germanium",5.32
"Titanium nitride",5.29
"Tittanium carbide",4.94
"Titanium diboride",4.52
"Titanium",4.51
"Ti-6Al-4V",4.5
"Titanium dioxide",4.25
"Aluminium oxide",3.98
"Spinel (MgO.Al3O3)",3.57
"Aluminium nitride",3.26
"Sialon",3.2
"Silicon nitride",3.19
"Mullite (3Al2O3-2SiO2)",3.16
"Silicon carbide",3.1
"Hydroxyapatite",3.1
"Aluminium carbide",2.99
"Wollastonite",2.9
"Aluminium copper alloy",2.84
"Aluminium zinc alloy",2.78
"Aluminium",2.7
"Cordierite",2.65
"E-glass fiber",2.62
"Pyrex glass",2.52
"Boron carbide",2.52
"Boron",2.4
"Silicon",2.33
"PTFE (polytetrafluoroethylene)",2.3
"Graphite",2.26
"Boron nitride",2.25
"Sulfur",2.07
"Unsaturated polyester",2
"Polymide thermoset",2
"Phenolic resin",1.99
"Beryllium",1.85
"Phosphorus",1.83
"Carbon fiber",1.74
"Magnesium",1.74
"PPS (polyphenyleene sulfide)",1.67
"Nylon 6",1.64
"Acetal resin",1.57
"Epoxy resin",1.56
"Calcium",1.55
"Rubidium",1.53
"Polycarbonate",1.53
"Aremid fiber",1.45
"Aramotic polymide",1.44
"Bismaleimide resin",1.36
"Silicone",1.35
"PEEK (polyetheretherketone)",1.32
"Cellulose acetate",1.3
"Human Bone",1.3
"Polyurethane",1.27
"ABS (acrylonitrile butadiene styrene)",1.26
"Polysulfone",1.24
"Acrylic",1.19
"Polypropylene",1.05
"Sodium",0.97
"PE (polyethylene)",0.95
"UHMWPE (ultrahigh molecular weight PE)",0.93
"Potassium",0.86
"Lithium",0.53
"PVC",1.4
"Iridium",22.65
"Osmium",22.61
"Platinum",21.45
"Rhenium",21
"Tungsten",19.4
"Gold",19.3
"Uranium",19.07
"Tungsten carbide",17.2
"Tantalum",16.6
"Tantalum cabide(TaC)",14.53
"Hafnium",13.1
"Ruthenium",12.45
"Rhodium",12.41
"Palladium",12.02
"Thallium",11.85
"Tholium",11.5
"Lead",11.34
"Silver",10.49
"molybdenum",10.2
"Bismuth",9.8
"Thulium",9.31
"Cast hight leaded tin bronze",9.29
"Nickel-moly(Hastelly B-2)",9.2
"Copper",8.96
"Nickel",8.9
"Copper nickel(64Cu-14Ni-22Zn)",8.85
"Cobalt",8.85
"Nickel silver",8.7
"Brass(61.5Cu-3Pb-35.5Zn)",8.7
"Bronze(57Cu,40Zn,3Pb)",8.7
"Cadmium",8.65
"Niobium(Columbium)",8.57
"Nickel chromium cobalt alloy",8.21
"Nickel-chromium(Inconel 718)",8.2
"Copper zinc alloy",8.19
"Maraing steel",8.02
"Austentic stainless steel",8
"Iron-nickel(Invar)",8
"Iron",7.87
"Nickel iron superally",7.86
"Chromium steel",7.83
"Nonresuktfurized carbon steel",7.83
"Stainless steel(17Cr-4Ni)",7.81
"Hot work tool steel",7.75
"Aluminium bronze",7.64
"Babbitt",7.5
"Samarium",7.49
"Maganese",7.43
"Indium",7.31
"Niobium nitride",7.3
"Tin",7.3
"Cerium dioxide",7.28
"Astempered ductile iron",7.2
"Pewter(Sn,Sb,Cu)",7.2
"Chromium",7.19
"Zince",7.13
"Neodymium",7
"Praseodymium",6.77
"Cerium",6.77
"Chromium carbide",6.7
"Antimony",6.65
"Zinconium",6.49
"Lanthanum",6.15
"Vanadium",6.11
"Nivkel aluminide (NiAl)",6.05
"PLA Filament",1.27
"ABS Filament",1.05
"PVA Filament",1.19
"HIPS Filament",1.04
"PETG Filament",1.25
"TPU Filament",1.3
