Servo,Min Voltage,Max Voltage,Weight,Speed,Stall_Torque,At_Voltage,Features
https://www.adafruit.com/products/169,3,6,9,0.12,1.6,4.8,None
https://www.adafruit.com/products/1449,6,6,13.82,0.1,1.6,6,Analog Feedback
https://www.adafruit.com/products/1450,6,6,15.81,0.1,1.8,6,Analog Feedback
https://www.adafruit.com/products/155,4.8,6,39,0.16,6.5,6,None
https://www.adafruit.com/products/2307,4.8,6.6,14,0.08,3.8,6,None
https://www.adafruit.com/products/2201,4.8,4.8,5,0.1,0.6,4.8,None
https://www.adafruit.com/products/1404,6,6,46,0.21,6.5,6,Analog Feedback
https://www.adafruit.com/products/1143,4.8,6,13.4,0.08,2.2,6,None
https://www.adafruit.com/products/1142,4.8,6,62.41,0.16,10,6,None
https://www.sparkfun.com/products/9065,4.8,6,9,0.1,1.5,6,None
https://www.sparkfun.com/products/11965,4.8,6,40,0.16,6,6,None
https://www.sparkfun.com/products/10333,4.8,6,20,0.18,3.2,6,None
https://www.sparkfun.com/products/11881,4.8,6,152,0.14,24.7,6,None
https://www.sparkfun.com/products/11884,4.8,6,45.5,0.16,4,6,None
https://www.sparkfun.com/products/11883,4.8,6,45.5,0.15,4,6,None
https://www.sparkfun.com/products/11882,4.8,4.8,4.5,0.1,0.8,4.8,None
https://www.sparkfun.com/products/11885,4.8,6,55.2,0.15,6.8,6,None
https://www.sparkfun.com/products/11886,6,7.4,60,0.2,9.6,6,Waterproof
https://www.sparkfun.com/products/12625,4.8,6,110,0.23,13.1,6,None
https://www.sparkfun.com/products/11887,4.8,6,21.9,0.14,3.5,6,None
https://hobbyking.com/en_us/hk-282a-single-screw-ultra-micro-servo-2g-0-2kg-0-08sec.html,,,9,0.08,0.2,,
https://hobbyking.com/en_us/hobbykingtm-hk15318b-low-voltage-micro-servo-11kg-0-08sec-2-2g.html,,,9,0.08,0.11,,
https://hobbyking.com/en_us/wltoys-v977-power-star-servo.html,,,11,0,0,,
https://hobbyking.com/en_us/hobbyking-ultra-micro-servo-1-7g-for-3d-flight-left.html,,,11,0.12,0.08,,
https://hobbyking.com/en_us/hobbyking-ultra-micro-servo-1-7g-for-3d-flight-right.html,,,11,0.12,0.08,,
https://hobbyking.com/en_us/blue-arrow-2-8g-50kg-09sec-high-speed-micro-servo.html,,,13,0.09,0.5,,
https://hobbyking.com/en_us/9103mg-metal-gear-servo-5-6g-1-0kg-12sec.html,,,15,0.12,1,,
https://hobbyking.com/en_us/em-micro-servo-black-9g-1-5kg-12sec.html,,,16,0.12,1.5,,
https://hobbyking.com/en_us/hobbykingtm-hk-15339-micro-analog-servo-0-8kg-0-09sec-7-5g.html,,,16,0.09,0.8,,
https://hobbyking.com/en_us/hobbykingtm-hkscm12-5-single-chip-digital-servo-1-5kg-0-18sec-10g.html,,,17,0.18,1.5,,
https://hobbyking.com/en_us/hobbykingtm-hkscm12-6-single-chip-digital-servo-1-7kg-0-16sec-12g.html,,,17,0.16,1.7,,
https://hobbyking.com/en_us/hobbykingtm-hkscm16-5-single-chip-digital-servo-2kg-0-15sec-13g.html,,,18,0.15,2,,
https://hobbyking.com/en_us/ssv-9314mg-14-7g-1-9kg-12sec-precision-servo.html,,,19,0.1,1.9,,
https://hobbyking.com/en_us/turnigytm-tgy-1440a-analog-servo-v2-0-8kg-0-10sec-4-4g.html,,,19,0.1,1,,
https://hobbyking.com/en_us/turnigytm-tgy-245-lv-low-voltage-dlg-wing-servo-w-alloy-case-1-4kg-0-12sec-8-6g.html,,,19,0.12,1.4,,
https://hobbyking.com/en_us/power-hd-1900a-servo-1-7kg-0-08sec-9g.html,,,20,0.08,1.7,,
https://hobbyking.com/en_us/hobbykingtm-hkscm16-6-single-chip-digital-servo-2-5kg-0-13sec-16g.html,,,20,0.13,2.5,,
https://hobbyking.com/en_us/9g-metal-gear-rudder-servo.html,,,20,0.13,3.1,,
https://hobbyking.com/en_us/single-cell-3-2g-16kg-10sec-digital-ultra-micro-servo.html,,,21,0.1,0.16,,
https://hobbyking.com/en_us/turnigytm-tss-9-digital-micro-servo-1-9kg-0-11sec-9g.html,,,21,0.11,1.9,,
https://hobbyking.com/en_us/em-micro-servo-blue-9g-1-5kg-12sec.html,,,23,0.12,1.5,,
https://hobbyking.com/en_us/towerpro-mg90d-mini-digital-servo-2-4kg-0-08sec-13g.html,,,24,0.08,2.4,,
https://hobbyking.com/en_us/hobbykingtm-digital-coreless-servo-mg-bb-1-4kg-0-05sec-15-3g.html,,,24,0.05,1.4,,
https://hobbyking.com/en_us/vigor-vs-5m-mg-servo-10g-1-2kg-0-17sec.html,,,25,0.17,1.2,,
https://hobbyking.com/en_us/hextronik-mg-14-14g-2-6kg-0-11sec-digital-aircraft-servo.html,,,25,0.11,2.6,,
